"Lot.Frontage","Lot.Area","Neighborhood","Year.Built","Garage.Type","Garage.Finish","Garage.Cars","Paved.Drive","Full.Bath","X1st.Flr.SF","X2nd.Flr.SF","Bedroom.AbvGr","SalePrice"
,10320,"IDOTRR",1915,"Detchd","Unf",2,"Y",2,880,428,2,120000
102,9373,"NAmes",1953,"Detchd","Unf",2,"Y",1,1152,0,3,137500
,56600,"IDOTRR",1900,"Detchd","Unf",1,"N",2,1150,686,4,103000
68,8930,"Sawyer",1978,"Attchd","Unf",2,"Y",2,1318,584,4,112000
70,8050,"NAmes",1967,"Attchd","RFn",1,"Y",1,1107,0,3,127000
60,6360,"Sawyer",1963,"Attchd","Unf",1,"Y",1,864,0,3,119916
,12782,"CollgCr",2002,"Attchd","Fin",2,"Y",2,1828,0,3,279500
60,6000,"IDOTRR",1940,"Detchd","Unf",1,"Y",1,760,330,3,120000
60,6600,"Mitchel",1982,"Attchd","Unf",1,"Y",1,816,0,3,130500
,4928,"NPkVill",1976,"Attchd","RFn",2,"Y",2,958,0,2,143750
138,18030,"ClearCr",1946,,,0,"Y",3,1636,971,3,200500
100,18494,"Gilbert",2005,"Attchd","Fin",2,"Y",2,1324,0,3,199500
84,10440,"Somerst",2007,"Attchd","Fin",2,"Y",2,1584,0,2,261329
71,9178,"CollgCr",2008,"Attchd","RFn",3,"Y",2,1468,0,3,239900
80,12048,"Edwards",1952,"Attchd","RFn",2,"Y",1,1488,0,3,135000
38,7840,"Edwards",1975,,,0,"Y",2,1012,0,4,127500
66,8738,"Gilbert",1999,"BuiltIn","Fin",2,"Y",2,1005,1286,4,230000
100,15263,"ClearCr",1959,"Attchd","Unf",1,"Y",2,1675,0,3,173000
69,11302,"StoneBr",2005,"Attchd","Fin",3,"Y",2,1826,0,3,319000
90,17217,"Mitchel",2006,,,0,"Y",1,1140,0,3,84500
48,6955,"NridgHt",2005,"Attchd","RFn",2,"Y",2,1368,0,2,202500
65,8769,"NridgHt",2008,"Attchd","Fin",3,"Y",1,1702,0,1,367294
74,7733,"SawyerW",2005,,,0,"Y",1,1142,0,3,139500
75,10170,"NAmes",1951,"Attchd","Unf",2,"Y",1,1575,0,2,155000
110,8472,"IDOTRR",1963,"CarPort","Unf",2,"Y",1,816,0,2,110000
61,8534,"IDOTRR",1925,,,0,"N",1,672,0,2,72000
90,13068,"NWAmes",1976,"Attchd","Fin",2,"Y",2,1211,0,3,161000
,7472,"NAmes",1972,"Attchd","Fin",2,"Y",1,725,754,4,184000
,11950,"Gilbert",2003,"BuiltIn","Fin",2,"Y",2,754,640,3,165500
100,13350,"Sawyer",1974,"Attchd","Unf",2,"Y",1,894,0,3,142500
80,9600,"NWAmes",1971,"Attchd","RFn",2,"Y",1,930,715,4,171000
80,11622,"NAmes",1961,"Attchd","Unf",1,"Y",1,896,0,2,105000
44,5306,"StoneBr",1987,"Attchd","RFn",2,"Y",2,1064,703,2,239000
,115149,"ClearCr",1971,"Attchd","Unf",2,"Y",2,1824,0,2,302000
69,7590,"NAmes",1963,"Attchd","Unf",1,"Y",1,1117,0,3,136870
61,10226,"CollgCr",2008,"Attchd","RFn",3,"Y",2,1630,0,3,295493
55,8525,"SWISU",1911,,,0,"N",1,1024,940,4,130000
60,6180,"BrkSide",1926,"Detchd","Unf",1,"Y",1,986,0,2,102000
109,21780,"IDOTRR",1910,"Detchd","Unf",1,"N",1,810,0,1,57625
,12155,"SWISU",1925,"Detchd","Unf",1,"P",2,810,672,4,140000
,11354,"CollgCr",2000,"Attchd","RFn",2,"Y",2,1673,0,3,270000
84,10207,"Somerst",2007,"Attchd","Fin",2,"Y",3,874,887,3,227875
57,9245,"CollgCr",1994,"Detchd","Unf",2,"Y",1,990,0,3,145000
80,10240,"NridgHt",2005,"Attchd","RFn",3,"Y",2,1038,1060,3,275500
90,12878,"NridgHt",2003,"Attchd","Fin",2,"Y",2,1760,0,3,269500
64,7018,"SawyerW",1979,"Detchd","Unf",2,"Y",2,1120,1120,6,142953
,18800,"NWAmes",1976,"Attchd","Fin",2,"Y",2,790,784,3,190000
160,15623,"NoRidge",1996,"Attchd","Fin",3,"Y",3,2411,2065,4,745000
,8145,"Crawfor",1940,"Detchd","Unf",2,"Y",2,1240,1240,5,205000
80,10400,"CollgCr",1998,"Attchd","RFn",2,"Y",2,866,913,3,197900
