community_area,community_area_name,Crowded Housing Rate (More than one occupant per room),Poverty Rate (Share of households with income below poverty level),unemployment_rate,No High School Diploma Rate (Share of population age 25 and older without a high school diploma),Dependency Rate (Share of population under 18 and over 64 years of age),per_capita_income,hardship_index
1,Rogers Park,5.2,16.9,6.2,10.3,26.4,37895,36.5
2,West Ridge,8.1,16.2,7.3,15.9,42.2,33270,52.5
3,Uptown,3.0,17.9,4.3,8.3,22.7,52004,27.1
4,Lincoln Square,2.2,8.8,5.4,5.7,28.2,60915,23.4
5,North Center,0.4,6.1,3.9,2.7,34.1,89169,15.4
6,Lake View,1.5,9.7,3.4,1.8,21.5,90354,11.6
7,Lincoln Park,1.1,9.6,3.7,2.0,25.2,113396,9.2
8,Near North Side,2.5,10.2,3.3,1.8,22.0,119028,8.9
9,Edison Park,1.2,8.8,2.6,1.7,35.9,66429,20.8
10,Norwood Park,1.1,7.7,4.5,7.0,44.2,52782,30.1
11,Jefferson Park,1.6,7.1,5.4,7.8,36.5,45659,29.2
12,Forest Glen,0.5,4.3,4.5,3.9,42.1,72082,22.5
13,North Park,6.1,16.1,4.1,9.8,42.4,38664,43.5
14,Albany Park,4.2,11.3,6.5,18.5,31.5,40327,39.3
15,Portage Park,3.3,10.3,4.6,11.6,34.8,41708,34.2
16,Irving Park,3.0,11.2,6.2,12.4,33.6,48646,33.8
17,Dunning,2.5,10.6,5.6,11.1,36.9,40159,34.6
18,Montclare,3.0,11.8,3.7,18.8,39.6,34707,40.6
19,Belmont Cragin,8.6,15.9,5.1,30.7,38.0,26229,58.4
20,Hermosa,7.6,14.8,5.6,27.3,36.9,27636,54.3
21,Avondale,1.6,11.8,5.3,13.5,26.4,48384,28.3
22,Logan Square,1.6,9.7,4.1,7.3,23.7,67863,19.5
23,Humboldt Park,5.7,25.6,9.9,23.6,38.1,26586,56.2
24,West Town,1.5,8.8,3.3,5.1,19.6,86507,12.6
25,Austin,4.4,28.3,14.4,18.3,39.4,25591,55.9
26,West Garfield Park,6.9,32.0,22.7,23.3,38.1,19294,69.3
27,East Garfield Park,4.9,38.1,16.8,17.1,37.0,23689,60.0
28,Near West Side,3.4,15.2,6.2,4.9,19.2,79356,20.4
29,North Lawndale,5.3,33.8,13.9,19.6,36.7,23017,58.6
30,South Lawndale,8.5,19.0,8.4,35.5,34.1,20063,62.8
31,Lower West Side,4.8,17.3,7.2,22.2,29.6,38739,43.9
32,Loop,3.8,9.7,7.8,3.9,16.6,106174,14.3
33,Near South Side,2.3,8.0,4.5,4.1,24.8,95929,14.8
34,Armour Square,5.0,26.8,9.0,31.8,42.3,29042,60.5
35,Douglas,5.0,28.3,14.0,10.2,32.2,37119,47.5
36,Oakland,1.3,36.1,15.0,8.0,39.6,35551,47.1
37,Fuller Park,1.1,56.9,25.7,24.7,45.4,16320,74.1
38,Grand Boulevard,2.4,28.6,16.4,11.4,36.2,37042,47.3
39,Kenwood,2.1,23.4,10.3,4.7,38.6,57986,35.8
40,Washington Park,3.1,42.3,17.7,13.9,40.0,18617,59.6
41,Hyde Park,1.7,19.7,6.9,3.7,28.7,57968,26.7
42,Woodlawn,1.7,31.2,14.5,13.4,34.9,26076,47.9
43,South Shore,3.5,29.7,14.7,10.7,37.5,30577,49.7
44,Chatham,1.7,25.6,17.5,10.3,37.5,30031,47.1
45,Avalon Park,1.2,17.8,14.2,9.2,46.3,32213,44.9
46,South Chicago,4.5,30.7,15.0,18.7,42.4,24792,59.0
47,Burnside,0.0,22.1,18.6,10.8,52.4,28119,51.4
48,Calumet Heights,0.4,14.0,10.7,4.6,49.9,39509,38.4
49,Roseland,2.4,22.4,17.1,12.2,41.2,26293,50.2
50,Pullman,1.5,17.7,13.2,9.7,41.0,31937,42.6
51,South Deering,2.2,33.7,12.2,19.1,41.0,23974,54.1
52,East Side,5.9,15.3,7.8,25.1,39.3,27084,53.1
53,West Pullman,2.1,24.1,19.6,12.3,40.0,25489,51.5
54,Riverdale,8.8,51.6,29.1,14.3,47.0,14602,83.1
55,Hegewisch,0.1,15.9,10.9,15.4,40.8,30807,41.2
56,Garfield Ridge,2.5,9.8,4.3,16.7,39.3,38171,37.8
57,Archer Heights,10.2,8.5,9.4,30.1,38.2,26771,61.0
58,Brighton Park,8.2,16.9,9.0,29.8,34.4,24600,58.6
59,Mckinley Park,3.2,12.0,8.0,21.4,31.6,35820,41.0
60,Bridgeport,3.5,12.8,6.0,17.0,32.7,39879,38.2
61,New City,6.7,28.8,12.4,28.6,38.4,22840,63.6
62,West Elsdon,4.9,9.2,7.6,26.6,38.8,29751,49.6
63,Gage Park,9.5,13.9,13.1,33.1,37.5,21593,65.9
64,Clearing,3.5,8.8,8.4,14.2,38.4,33802,40.7
65,West Lawn,8.6,14.4,7.7,25.6,38.2,26041,57.1
66,Chicago Lawn,5.9,18.3,14.1,24.5,38.5,23153,58.0
67,West Englewood,2.4,34.7,18.6,23.1,40.9,20512,61.2
68,Englewood,0.8,37.8,20.6,23.3,39.3,19181,60.4
69,Greater Grand Crossing,2.9,28.5,15.5,13.1,40.4,25236,52.2
70,Ashburn,3.7,14.4,9.3,18.8,37.4,30254,45.8
