Area Number,Community,Crowded Housing Rate (More than one occupant per room),Poverty Rate (Share of households with income below poverty level),Unemployment Rate,No High School Diploma Rate (Share of population age 25 and older without a high school diploma),Dependency Rate (Share of population under 18 and over 64 years of age),Per Capita Income,Hardship Index Value
1,Rogers Park,5.2,16.9,6.2,10.3,26.4,"$37,895",36.5
2,West Ridge,8.1,16.2,7.3,15.9,42.2,"$33,270",52.5
3,Uptown,3,17.9,4.3,8.3,22.7,"$52,004",27.1
4,Lincoln Square,2.2,8.8,5.4,5.7,28.2,"$60,915",23.4
5,North Center,0.4,6.1,3.9,2.7,34.1,"$89,169",15.4
6,Lake View,1.5,9.7,3.4,1.8,21.5,"$90,354",11.6
7,Lincoln Park,1.1,9.6,3.7,2,25.2,"$113,396",9.2
8,Near North Side,2.5,10.2,3.3,1.8,22,"$119,028",8.9
9,Edison Park,1.2,8.8,2.6,1.7,35.9,"$66,429",20.8
10,Norwood Park,1.1,7.7,4.5,7,44.2,"$52,782",30.1
11,Jefferson Park,1.6,7.1,5.4,7.8,36.5,"$45,659",29.2
12,Forest Glen,0.5,4.3,4.5,3.9,42.1,"$72,082",22.5
13,North Park,6.1,16.1,4.1,9.8,42.4,"$38,664",43.5
14,Albany Park,4.2,11.3,6.5,18.5,31.5,"$40,327",39.3
15,Portage Park,3.3,10.3,4.6,11.6,34.8,"$41,708",34.2
16,Irving Park,3,11.2,6.2,12.4,33.6,"$48,646",33.8
17,Dunning,2.5,10.6,5.6,11.1,36.9,"$40,159",34.6
18,Montclare,3,11.8,3.7,18.8,39.6,"$34,707",40.6
19,Belmont Cragin,8.6,15.9,5.1,30.7,38,"$26,229",58.4
20,Hermosa,7.6,14.8,5.6,27.3,36.9,"$27,636",54.3
21,Avondale,1.6,11.8,5.3,13.5,26.4,"$48,384",28.3
22,Logan Square,1.6,9.7,4.1,7.3,23.7,"$67,863",19.5
23,Humboldt Park,5.7,25.6,9.9,23.6,38.1,"$26,586",56.2
24,West Town,1.5,8.8,3.3,5.1,19.6,"$86,507",12.6
25,Austin,4.4,28.3,14.4,18.3,39.4,"$25,591",55.9
26,West Garfield Park,6.9,32,22.7,23.3,38.1,"$19,294",69.3
27,East Garfield Park,4.9,38.1,16.8,17.1,37,"$23,689",60
28,Near West Side,3.4,15.2,6.2,4.9,19.2,"$79,356",20.4
29,North Lawndale,5.3,33.8,13.9,19.6,36.7,"$23,017",58.6
30,South Lawndale,8.5,19,8.4,35.5,34.1,"$20,063",62.8
31,Lower West Side,4.8,17.3,7.2,22.2,29.6,"$38,739",43.9
32,Loop,3.8,9.7,7.8,3.9,16.6,"$106,174",14.3
33,Near South Side,2.3,8,4.5,4.1,24.8,"$95,929",14.8
34,Armour Square,5,26.8,9,31.8,42.3,"$29,042",60.5
35,Douglas,5,28.3,14,10.2,32.2,"$37,119",47.5
36,Oakland,1.3,36.1,15,8,39.6,"$35,551",47.1
37,Fuller Park,1.1,56.9,25.7,24.7,45.4,"$16,320",74.1
38,Grand Boulevard,2.4,28.6,16.4,11.4,36.2,"$37,042",47.3
39,Kenwood,2.1,23.4,10.3,4.7,38.6,"$57,986",35.8
40,Washington Park,3.1,42.3,17.7,13.9,40,"$18,617",59.6
41,Hyde Park,1.7,19.7,6.9,3.7,28.7,"$57,968",26.7
42,Woodlawn,1.7,31.2,14.5,13.4,34.9,"$26,076",47.9
43,South Shore,3.5,29.7,14.7,10.7,37.5,"$30,577",49.7
44,Chatham,1.7,25.6,17.5,10.3,37.5,"$30,031",47.1
45,Avalon Park,1.2,17.8,14.2,9.2,46.3,"$32,213",44.9
46,South Chicago,4.5,30.7,15,18.7,42.4,"$24,792",59
47,Burnside,0,22.1,18.6,10.8,52.4,"$28,119",51.4
48,Calumet Heights,0.4,14,10.7,4.6,49.9,"$39,509",38.4
49,Roseland,2.4,22.4,17.1,12.2,41.2,"$26,293",50.2
50,Pullman,1.5,17.7,13.2,9.7,41,"$31,937",42.6
51,South Deering,2.2,33.7,12.2,19.1,41,"$23,974",54.1
52,East Side,5.9,15.3,7.8,25.1,39.3,"$27,084",53.1
53,West Pullman,2.1,24.1,19.6,12.3,40,"$25,489",51.5
54,Riverdale,8.8,51.6,29.1,14.3,47,"$14,602",83.1
55,Hegewisch,0.1,15.9,10.9,15.4,40.8,"$30,807",41.2
56,Garfield Ridge,2.5,9.8,4.3,16.7,39.3,"$38,171",37.8
57,Archer Heights,10.2,8.5,9.4,30.1,38.2,"$26,771",61
58,Brighton Park,8.2,16.9,9,29.8,34.4,"$24,600",58.6
59,Mckinley Park,3.2,12,8,21.4,31.6,"$35,820",41
60,Bridgeport,3.5,12.8,6,17,32.7,"$39,879",38.2
61,New City,6.7,28.8,12.4,28.6,38.4,"$22,840",63.6
62,West Elsdon,4.9,9.2,7.6,26.6,38.8,"$29,751",49.6
63,Gage Park,9.5,13.9,13.1,33.1,37.5,"$21,593",65.9
64,Clearing,3.5,8.8,8.4,14.2,38.4,"$33,802",40.7
65,West Lawn,8.6,14.4,7.7,25.6,38.2,"$26,041",57.1
66,Chicago Lawn,5.9,18.3,14.1,24.5,38.5,"$23,153",58
